dense_model,diffuse_model,dense_fraction,dense_logn,dense_logu,dense_metallicity,diffuse_logn,diffuse_logu,diffuse_metallicity,halpha_hbeta,oiii_hbeta,nii_halpha,sii_halpha,heii1640_hbeta,heii4686_hbeta,paalpha_halpha,lha_per_qh54,yield_halpha,yield_hbeta,yield_heii1640,yield_heii4686,yield_nii6583,yield_oiii5007,yield_paalpha,yield_sii6716,yield_sii6731
thermal_dense_skin,thermal_skin_z_0p02,0.2,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9303756720648986,0.7979869094400466,0.00020481708593834608,0.0001416924690096657,3.7490389673451214,0.43644650342023994,0.08221704054803503,5.942417670827463e+41,5.942417670827463e-13,2.0278688932194553e-13,7.602559501346761e-13,8.850562878403032e-14,1.217108670767415e-16,1.618212830849801e-13,4.8856799459578134e-14,2.800604143293592e-17,5.619354173368508e-17
thermal_dense_skin,thermal_skin_z_0p02,0.21,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9307628884101793,0.7971732748712965,0.00020458121943826754,0.00014152929655309647,3.752179308311965,0.4367450255576436,0.0822389316779045,5.8749029637029774e+41,5.874902963702977e-13,2.004564404352027e-13,7.521485080188374e-13,8.754835320106686e-14,1.201894812395847e-16,1.5979851709077352e-13,4.8314574344628775e-14,2.765596591503041e-17,5.549112246202799e-17
thermal_dense_skin,thermal_skin_z_0p02,0.22,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9311592139883653,0.7963404996157529,0.00020433986873187465,0.00014136233012232433,3.7553935255436337,0.4370505704039543,0.08226133180533242,5.807388256578491e+41,5.80738825657849e-13,1.9812599154845983e-13,7.440410659029988e-13,8.65910776181034e-14,1.186680954024279e-16,1.5777575109656695e-13,4.7772349229679416e-14,2.7305890397124906e-17,5.47887031903709e-17
thermal_dense_skin,thermal_skin_z_0p02,0.23,10.0,-1.0,0.2,4.0,-2.0,0.02,2.931564974066335,0.7954879002095591,0.00020409284029682942,0.00014119143583858604,3.7586842569682957,0.43736338872173675,0.08228425889142237,5.739873549454004e+41,5.739873549454003e-13,1.95795542661717e-13,7.3593362378716e-13,8.563380203513992e-14,1.1714670956527112e-16,1.557529851023604e-13,4.723012411473006e-14,2.6955814879219396e-17,5.408628391871381e-17
thermal_dense_skin,thermal_skin_z_0p02,0.24,10.0,-1.0,0.2,4.0,-2.0,0.02,2.931980509583414,0.7946147602572828,0.00020383993139726943,0.00014101647344920193,3.762054267618327,0.43768374335613536,0.08230773175239911,5.672358842329517e+41,5.672358842329517e-13,1.9346509377497415e-13,7.278261816713214e-13,8.467652645217645e-14,1.1562532372811433e-16,1.5373021910815382e-13,4.6687898999780704e-14,2.6605739361313888e-17,5.338386464705672e-17
thermal_dense_skin,thermal_skin_z_0p02,0.25,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9324061781068216,0.7937203284242914,0.0002035809295288879,0.00014083729594368183,3.7655064573790287,0.43801190997147066,0.08233177011111176,5.60484413520503e+41,5.60484413520503e-13,1.9113464488823131e-13,7.197187395554826e-13,8.3719250869213e-14,1.1410393789095757e-16,1.5170745311394727e-13,4.6145673884831344e-14,2.625566384340838e-17,5.268144537539963e-17
thermal_dense_skin,thermal_skin_z_0p02,0.26,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9328423548578804,0.7928038162804423,0.0002033156118234171,0.000140653749141747,3.76904386931122,0.43834817784238794,0.08235639465230436,5.537329428080543e+41,5.537329428080542e-13,1.8880419600148848e-13,7.11611297439644e-13,8.276197528624954e-14,1.1258255205380078e-16,1.4968468711974067e-13,4.5603448769882e-14,2.5905588325502873e-17,5.197902610374254e-17
thermal_dense_skin,thermal_skin_z_0p02,0.27,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9332894338151707,0.791864395982085,0.00020304374440900967,0.0001404656712508418,3.772669698597883,0.43869285070432984,0.08238162708198002,5.469814720956056e+41,5.469814720956056e-13,1.8647374711474564e-13,7.035038553238053e-13,8.180469970328607e-14,1.11061166216644e-16,1.4766192112553412e-13,4.506122365493264e-14,2.5555512807597368e-17,5.127660683208545e-17
thermal_dense_skin,thermal_skin_z_0p02,0.28,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9337478289014576,0.7909011977780471,0.00020276508172265755,0.0001402728923904648,3.776387302170181,0.43904624766858924,0.08240749019121633,5.402300013831569e+41,5.402300013831569e-13,1.841432982280028e-13,6.953964132079665e-13,8.084742412032261e-14,1.095397803794872e-16,1.4563915513132755e-13,4.4518998539983285e-14,2.5205437289691858e-17,5.057418756042836e-17
thermal_dense_skin,thermal_skin_z_0p02,0.29,10.0,-1.0,0.2,4.0,-2.0,0.02,2.9342179752618978,0.7899133073238142,0.00020247936577040098,0.00014007523408038187,3.7802002090737656,0.43940870420773465,0.08243400792482644,5.334785306707083e+41,5.334785306707082e-13,1.8181284934125996e-13,6.87288971092128e-13,7.989014853735912e-14,1.0801839454233041e-16,1.43616389137121e-13,4.3976773425033926e-14,2.4855361771786353e-17,4.987176828877127e-17
thermal_dense_skin,thermal_skin_z_0p02,0.3,10.0,-1.0,0.2,4.0,-2.0,0.02,2.934700330641824,0.7888997627864681,0.0002021863253306427,0.0001398725086894783,3.784112131642688,0.43978057321780784,0.08246120545530077,5.267270599582597e+41,5.267270599582596e-13,1.794824004545171e-13,6.791815289762892e-13,7.893287295439567e-14,1.0649700870517362e-16,1.4159362314291442e-13,4.3434548310084567e-14,2.4505286253880842e-17,4.916934901711418e-17
